group,member_url
Đoàn Trường THPT Phan Đăng Lưu - Huế ,https://facebook.com/zuienxauxiiiiiiiii
CLB Âm Nhạc HBT ,https://facebook.com/zsn.tein
Đoàn TNCS Hồ Chí Minh trường THPT Bùi Thị Xuân - Huế ,https://facebook.com/zna.hoq
Đoàn Trường THPT Vinh Xuân ,https://facebook.com/zixxir.np
CLB Cầu Lông Trường ALĐ ,https://facebook.com/zhiuwithtbang
HBT Confessions ,https://facebook.com/zendz.001
VXAC - CLB Thiên Văn trường THPT Vinh Xuân ,https://facebook.com/zanquang2611
Đoàn Trường THPT Phan Đăng Lưu - Huế ,https://facebook.com/zannhiiii
Vi Vu Quốc Học ,https://facebook.com/zangkiki0709
HV Confessions ,https://facebook.com/zaido.kait
QH's AMC - CLB Văn hóa Nhật Bản ,https://facebook.com/zagii.UwU
Nguyễn Trường Tộ Basketball ,https://facebook.com/Za.bao2404
Cao Thắng All Stars - Confession ,https://facebook.com/YViDola
Chiến dịch tình nguyện Hoa Phượng Đỏ - Quốc Học Huế ,https://facebook.com/yuuki.kaede.75
Căn Tin Trường Hai Bà Trưng-Huế ,https://facebook.com/yumio.gl.9
QH's AMC - CLB Văn hóa Nhật Bản ,https://facebook.com/YuKi1630
Humans of Quoc Hoc ,https://facebook.com/yuhtaoh.an
QH Wolves - CLB Bóng Đá Quốc Học Huế ,https://facebook.com/youson22020508
Cheetah Volleyball - CLB Bóng Chuyền Quốc Học ,https://facebook.com/your.DangThanhHieu
HUNT CLUB - THPT Thuận An ,https://facebook.com/youaremybluespring
Hương Trà Confessions ,https://facebook.com/ynhu2510
Cheetah Volleyball - CLB Bóng Chuyền Quốc Học ,https://facebook.com/ynhu.nguyentran.180
TUỔI TRẺ HƯƠNG THỦY ,https://facebook.com/ynhu.nguyen.739
ALĐ Confessions ,https://facebook.com/Ynhii.1710
Đoàn Trường THPT Vinh Xuân ,https://facebook.com/ynhi194
Thư viện THPT Vinh Xuân ,https://facebook.com/ynhi.truong.98
Trường THPT Nguyễn Trường Tộ - Thành phố Huế ,https://facebook.com/ynha.phanle
THPT Phú Lộc Confessions ,https://facebook.com/ynef.5203577
The Oratory - Thuan Hoa English Club ,https://facebook.com/yminhh
Cheetah Volleyball - CLB Bóng Chuyền Quốc Học ,https://facebook.com/ymeandbae
Đoàn trường THPT Thuận An ,https://facebook.com/ym13610950903937
Gia Hội Confessions ,https://facebook.com/yhnii0
Cao Thắng All Stars - Confession ,https://facebook.com/yetuhy0910
QH Confessions ,https://facebook.com/Yeri25102003
Trường THPT Chi Lăng - Huế ,https://facebook.com/yenphuong.vanthi
Công Đoàn Trường THPT Đặng Huy Trứ ,https://facebook.com/yennhi.tran.1884
Hương Thủy Confessions ,https://facebook.com/yenngoc.nguyen.5437923
Gia Hội Confessions ,https://facebook.com/yenn.hoangg.503092
CLB Kỹ năng Thanh niên trường THPT Hà Trung ,https://facebook.com/yendao07
Trường THPT Tố Hữu ,https://facebook.com/yenbinh.truong.52
THPT Bình Điền Confessions ,https://facebook.com/yen.lao.334
CLB Âm Nhạc HBT ,https://facebook.com/yen.cocktailcorner
THPT Bình Điền Confessions ,https://facebook.com/yely.nguyen.3
Công Đoàn Trường THPT Đặng Huy Trứ ,https://facebook.com/ybinh.le.14473
Trường THPT Nguyễn Trường Tộ - Thành phố Huế ,https://facebook.com/Yayoneyi
ALĐ Confessions ,https://facebook.com/YasuoCa.Mau
Nguyễn Đình Chiểu-Huế Confessions ,https://facebook.com/yangmibui
Nguyễn Trường Tộ Basketball ,https://facebook.com/yangcmalb
Nét - Phu Bai Highschool ,https://facebook.com/Y.nhi230
Đoàn Trường THPT Thừa Lưu ,https://facebook.com/y.nhi.1905
Căn Tin Trường Hai Bà Trưng-Huế ,https://facebook.com/y.nguyendai
Dự án LĂNG KÍNH ,https://facebook.com/y.kyer0702
Đoàn Trường THPT Phan Đăng Lưu - Huế ,https://facebook.com/xv05011991
Hương Thủy Confessions ,https://facebook.com/xuxingg06
Truong PTDT Tinh Confession ,https://facebook.com/xundacdepzai
Đoàn Trường THPT Thừa Lưu ,https://facebook.com/xulanh.hoa.73
Nét - Phu Bai Highschool ,https://facebook.com/xuanuyen.vo.7946
Hương Trà Confessions ,https://facebook.com/xuantung1902
Trường THPT Chi Lăng - Huế ,https://facebook.com/xuanthanh.tran.106
WAF Basketball ,https://facebook.com/xuanphung.nguyen.946
QH Wolves - CLB Bóng Đá Quốc Học Huế ,https://facebook.com/xuannndave
Hương Thủy Confessions ,https://facebook.com/XuanNhi2301
THPT Hương Trà - Hẹn ước tuổi 18 ,https://facebook.com/xuannhi.hoang.75098
The Oratory - Thuan Hoa English Club ,https://facebook.com/xuann.vann.12
Thuận An Confessions ,https://facebook.com/xuanmai.vo.583234
Đoàn Trường THPT Vinh Xuân ,https://facebook.com/xuanmai.nguyen.54540
QH's AMC - CLB Văn hóa Nhật Bản ,https://facebook.com/xuanhuy.lamha.5
𝙎𝙈𝘾 - 𝙎𝙠𝙞𝙡𝙡𝙨 & 𝙈𝙚𝙙𝙞𝙖 𝘾𝙡𝙪𝙗 ,https://facebook.com/xuanhai.truong.777
Trường THPT Nguyễn Trường Tộ - Thành phố Huế ,https://facebook.com/xuanhai.hovan.3
Trường THPT Cao Thắng - Huế ,https://facebook.com/xuanduyen251108
THPT Bình Điền Confessions ,https://facebook.com/xuanchuongaz
Đoàn Trường THPT Tố Hữu - Huyện Quảng Điền - Tỉnh Thừa Thiên Huế ,https://facebook.com/xuan.thuy.5872
TUỔI TRẺ HƯƠNG THỦY ,https://facebook.com/xuan.quynh.90281943
Dự án LĂNG KÍNH ,https://facebook.com/xuan.nhi.507679
Chiến dịch tình nguyện Hoa Phượng Đỏ - Quốc Học Huế ,https://facebook.com/xuan.nhi.2007
Hương Trà Confessions ,https://facebook.com/xuan.khue0902
QH Wolves - CLB Bóng Đá Quốc Học Huế ,https://facebook.com/xuan.huynhphuoc
HUSC's English Club ,https://facebook.com/xuan.hiu.11.02
Gia Hội Basketball - CLB Bóng Rổ THPT Gia Hội - Huế ,https://facebook.com/xtruc.pdoan.73
THPT Phú Lộc Confessions ,https://facebook.com/xtibhak
CLB Cầu Lông Trường ALĐ ,https://facebook.com/xthanhiunl
Cheetah Volleyball - CLB Bóng Chuyền Quốc Học ,https://facebook.com/xNg0c4nhx
Trường THPT Cao Thắng - Huế ,https://facebook.com/xiu.hoang.7
Nguyễn Trường Tộ Basketball ,https://facebook.com/xiu.1706
ALĐ Confessions ,https://facebook.com/xinhxandangiuumoamoa
THPT Bình Điền Confessions ,https://facebook.com/xinhh.cha
Đoàn Trường THPT Phan Đăng Lưu - Huế ,https://facebook.com/xinh.phan.77715
WAF Basketball ,https://facebook.com/xiiicts1tg
The Oratory - Thuan Hoa English Club ,https://facebook.com/xich.vo.129
HBT Confessions ,https://facebook.com/xiaoxingxing.2105
BK FC - THPT Đặng Huy Trứ - Thừa Thiên Huế ,https://facebook.com/wyn.huong25
Căn Tin Trường Hai Bà Trưng-Huế ,https://facebook.com/wuynhu.ngphan.2111
CLB Bóng rổ The Beast - THPT Bùi Thị Xuân ,https://facebook.com/wuynhahn217
QH Confessions ,https://facebook.com/wuanmin050104
Q D 2 9 1 7 - Quốc Học Dance Club ,https://facebook.com/wuanduihoaviolet
WAF Basketball ,https://facebook.com/wtuevo
Gia Hội Confessions ,https://facebook.com/wtn.26
CLB bóng rổ Trường THPT Thuận Hoá - Huế ,https://facebook.com/wjddjrrud
𝙼𝚞𝚜𝚒𝚌 𝙲𝚘𝚖𝚎𝚍𝚢 ,https://facebook.com/wiwiwi104
𝙎𝙈𝘾 - 𝙎𝙠𝙞𝙡𝙡𝙨 & 𝙈𝙚𝙙𝙞𝙖 𝘾𝙡𝙪𝙗 ,https://facebook.com/withyurii
Thừa Lưu - Những điều chưa nói ,https://facebook.com/witherii
Cheetah Volleyball - CLB Bóng Chuyền Quốc Học ,https://facebook.com/winnn2004
CLB bóng rổ Trường THPT Thuận Hoá - Huế ,https://facebook.com/WindteamQHH
QH Wolves - CLB Bóng Đá Quốc Học Huế ,https://facebook.com/win22112006
Nguyễn Trường Tộ Basketball ,https://facebook.com/win.cu.18
Thừa Lưu - Những điều chưa nói ,https://facebook.com/whoisnasi
Đoàn Trường THPT Phan Đăng Lưu - Huế ,https://facebook.com/whelve.0108
Đoàn Trường THPT Vinh Xuân ,https://facebook.com/Wendy.Chin2905
CLB Âm Nhạc Quốc Học - Huế ,https://facebook.com/weaji.chie
HUSC's English Club ,https://facebook.com/WarmSeeker6
