index,ID_truong,ten_truong,fanpage,link
1,1,Trường THPT A Lưới,Đoàn trường THPT A Lưới,https://www.facebook.com/doantruongthptALuoi
2,1,Trường THPT A Lưới,CLB Sáng tạo trẻ - Trường THPT A Lưới,https://www.facebook.com/groups/1986195691670003
3,2,THPT An Lương Đông,THPT AN LƯƠNG ĐÔNG,https://www.facebook.com/groups/245186188851189
4,2,THPT An Lương Đông,An Lương Đông - Trường tôi đó,https://www.facebook.com/groups/AnLuongDongInMyMind
5,2,THPT An Lương Đông,Đoàn Trường THPT An Lương Đông,https://www.facebook.com/groups/132337343581158/user/100057556175036/
6,2,THPT An Lương Đông,Trường An Lương Đông,https://www.facebook.com/thpt.ald
7,2,THPT An Lương Đông,Lạc Radio - ALĐ High School,https://www.facebook.com/lacradio1909
8,2,THPT An Lương Đông,ALĐ Confessions,https://www.facebook.com/ALDcfs
9,2,THPT An Lương Đông,CLB Cầu Lông Trường ALĐ,https://www.facebook.com/profile.php?id=100085371855630
10,2,THPT An Lương Đông,An Lương Đông Football Club,https://www.facebook.com/Anluongdongfootballclub
11,2,THPT An Lương Đông,An Lương Đông - Lưu dấu khoảnh khắc,https://www.facebook.com/luudaukhoanhkhacald
12,2,THPT An Lương Đông,AN LUONG DONG HIGH SCHOOL,https://www.facebook.com/groups/237855972954217/members
13,3,THPT Bình Điền,THPT Bình Điền Confessions,https://www.facebook.com/THPTBinhDien.Hue
14,3,THPT Bình Điền,Trường THPT Bình Điền,https://www.facebook.com/profile.php?id=100079867551802
15,3,THPT Bình Điền,Đoàn trường THPT Bình Điền,https://www.facebook.com/profile.php?id=100083002137051
16,4,THPT Bùi Thị Xuân,Trường THPT Bùi Thị Xuân - Huế,https://www.facebook.com/profile.php?id=100086311783927
17,4,THPT Bùi Thị Xuân,CLB Bóng rổ The Beast - THPT Bùi Thị Xuân,https://www.facebook.com/BTXBASKETBALL
18,4,THPT Bùi Thị Xuân,Đoàn TNCS Hồ Chí Minh trường THPT Bùi Thị Xuân - Huế,https://www.facebook.com/DoanTncsHoChiMinhTruongThptBuiThiXuanHue
19,4,THPT Bùi Thị Xuân,Music CLUB Trường THPT Bùi Thị Xuân,https://www.facebook.com/MusicclubTHPTBuiThiXuanHue
20,8,Trường Dân Tộc Nội Trú Tỉnh TT Huế,Đoàn TNCS HCM trường PT DTNT Tỉnh Thừa Thiên Huế,https://www.facebook.com/dtnttTTH?mibextid=9R9pXO
21,8,Trường Dân Tộc Nội Trú Tỉnh TT Huế,Truong PTDT Tinh Confession,https://www.facebook.com/dtnttinhcfs?mibextid=9R9pXO
22,5,THPT Cao Thắng,Trường THPT Cao Thắng - Huế,https://www.facebook.com/THPTCaoThangHue
23,5,THPT Cao Thắng,"Đoàn trường THPT Cao Thắng - 11 Đống Đa, TP Huế",https://www.facebook.com/doantruongcaothanghues
24,5,THPT Cao Thắng,Đoàn Trường THPT Cao Thắng,https://www.facebook.com/groups/480807855414812/
25,5,THPT Cao Thắng,Cao Thắng All Stars - Confession,https://www.facebook.com/profile.php?id=100046925092744
26,18,Trường THPT Hương Vinh,Đoàn trường THPT Hương Vinh,https://www.facebook.com/profile.php?id=100064024904968&mibextid=ZbWKwL
27,18,Trường THPT Hương Vinh,HV Confessions,https://www.facebook.com/shareandwritedown?mibextid=ZbWKwL
28,18,Trường THPT Hương Vinh,Group THPT Hương Vinh,https://www.facebook.com/groups/430004190444149/
29,6,THPT Chi Lăng,Trường THPT Chi Lăng - Huế,https://www.facebook.com/chilangschool
30,25,Trường THPT Phan Đăng Lưu,Đoàn TNCS HCM Trường Phan Đăng Lưu - Huế,https://www.facebook.com/groups/388585634558648
31,25,Trường THPT Phan Đăng Lưu,PĐL Confessions,https://www.facebook.com/PDL.Confessions2013
32,25,Trường THPT Phan Đăng Lưu,Đoàn Trường THPT Phan Đăng Lưu - Huế,https://www.facebook.com/profile.php?id=100075545184739
33,25,Trường THPT Phan Đăng Lưu,PROM PĐL - Lễ tri ân và trưởng thành.,https://www.facebook.com/Letrianvaruongthanh.Prom.PDL
34,25,Trường THPT Phan Đăng Lưu,WAF Basketball,https://www.facebook.com/profile.php?id=100063452479671
35,7,Chuyên Khoa Học Huế,Trường THPT chuyên Khoa học Huế,Trường THPT chuyên Khoa học Huế | Hue
36,7,Chuyên Khoa Học Huế,Đoàn Trường THPT Chuyên Khoa học Huế,https://www.facebook.com/DoanTruongThptChuyenKhoahocHue
37,7,Chuyên Khoa Học Huế,HUSC's English Club,https://www.facebook.com/huscenglishclub
38,7,Chuyên Khoa Học Huế,𝙼𝚞𝚜𝚒𝚌 𝙲𝚘𝚖𝚎𝚍𝚢,https://www.facebook.com/musiccomedyy
39,7,Chuyên Khoa Học Huế,𝙎𝙈𝘾 - 𝙎𝙠𝙞𝙡𝙡𝙨 & 𝙈𝙚𝙙𝙞𝙖 𝘾𝙡𝙪𝙗,https://www.facebook.com/SMC.KCzStudio
40,9,THPT Đặng Huy Trứ,Đoàn trường THPT Đặng Huy Trứ,https://www.facebook.com/doantruongthptdanghuytru
41,9,THPT Đặng Huy Trứ,BK FC - THPT Đặng Huy Trứ - Thừa Thiên Huế,https://www.facebook.com/bkfc.thptdanghuytruthuathienhue
42,9,THPT Đặng Huy Trứ,CHS THPT ĐẶNG HUY TRỨ,https://www.facebook.com/groups/420889524666878/members
43,9,THPT Đặng Huy Trứ,ĐHT Confessions,https://www.facebook.com/dhtruconfessions/about
44,9,THPT Đặng Huy Trứ,Công Đoàn Trường THPT Đặng Huy Trứ,https://www.facebook.com/profile.php?id=100057597513253
45,10,THPT Đặng Trần Côn,Khi Tôi 18 - Trường THPT Đặng Trần Côn,https://www.facebook.com/profile.php?id=100063867311019
46,10,THPT Đặng Trần Côn,Đoàn trường Đặng Trần Côn,https://www.facebook.com/profile.php?id=100057883620368
47,11,THPT Gia Hội Huế,Trường THPT Gia Hội,https://www.facebook.com/TruongTHPTGiaHoiHue
48,11,THPT Gia Hội Huế,Trường THPT GIA HỘI,https://www.facebook.com/profile.php?id=100041528515971
49,11,THPT Gia Hội Huế,Gia Hội Confessions,https://www.facebook.com/GiaHoiConfessions
50,11,THPT Gia Hội Huế,Gia Hội Basketball - CLB Bóng Rổ THPT Gia Hội - Huế,https://www.facebook.com/profile.php?id=100085628904244
51,11,THPT Gia Hội Huế,Đoàn Trường Gia Hội,https://www.facebook.com/profile.php?id=100028948812585
52,12,THPT Hà Trung,Trường THPT Hà Trung,https://www.facebook.com/TruongThptHaTrung
53,12,THPT Hà Trung,CLB Kỹ năng Thanh niên trường THPT Hà Trung,https://www.facebook.com/KynangThanhnienHaTrung
54,13,THPT Hai Bà Trưng,Trường THPT Hai Bà Trưng - Huế,https://www.facebook.com/THPTHaiBaTrungHue
55,13,THPT Hai Bà Trưng,Đoàn trường THPT Hai Bà Trưng - TP Huế,https://www.facebook.com/profile.php?id=100057156411782
56,13,THPT Hai Bà Trưng,CLB Luật THPT Hai Bà Trưng - Huế,https://www.facebook.com/profile.php?id=100057156411782
57,13,THPT Hai Bà Trưng,Câu lạc bộ Tư duy phản biện - Trường THPT Hai Bà Trưng,https://www.facebook.com/profile.php?id=100062304441341
58,13,THPT Hai Bà Trưng,Căn Tin Trường Hai Bà Trưng-Huế,https://www.facebook.com/profile.php?id=100083565062874
59,13,THPT Hai Bà Trưng,CLB Âm Nhạc HBT,https://www.facebook.com/DKMusicClub
60,13,THPT Hai Bà Trưng,HBT DANCE CLUB,https://www.facebook.com/hbtdanceclb
61,13,THPT Hai Bà Trưng,HBT Confessions,https://www.facebook.com/HHBTConfessions
62,13,THPT Hai Bà Trưng,Love from HBT,https://www.facebook.com/lovefromhbt
65,16,THPT Hương Thủy,Trường THPT Hương Thuỷ,https://www.facebook.com/TruongTHPTHuongThuy
66,16,THPT Hương Thủy,Đoàn Trường THPT Hương Thủy,https://www.facebook.com/profile.php?id=100063504071473
67,16,THPT Hương Thủy,Cđcs Trường Hương Thủy,https://www.facebook.com/bchcongdoanthpthuongthuy
68,16,THPT Hương Thủy,Hương Thủy Confessions,https://www.facebook.com/HuongThuyConfessions
69,16,THPT Hương Thủy,TUỔI TRẺ HƯƠNG THỦY,https://www.facebook.com/tuoitrehuongthuy
70,17,THPT Hương Trà,Trường THPT Hương Trà,https://www.facebook.com/thpthuongtrathuathienhue
71,17,THPT Hương Trà,THPT Hương Trà - Hẹn ước tuổi 18,https://www.facebook.com/profile.php?id=100093076114358
72,17,THPT Hương Trà,Hương Trà Confessions,https://www.facebook.com/Huongtraconfessions
73,19,THPT Nam Đông,Trường THPT Nam Đông,https://www.facebook.com/THPTNamDong.school
74,19,THPT Nam Đông,Đoàn Trường THPT Nam Đông,https://www.facebook.com/profile.php?id=100063753420845
